名称,営業日,住所,アクセス
名古屋名物味噌とんちゃん屋 御器所ホルモン,月～金、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,愛知県名古屋市昭和区阿由知通３－１０－１,地下鉄御器所駅7番出口から徒歩1分
キッサカバ PRONTO プロント鶴舞公園店,月～日、祝日、祝前日: 07:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,愛知県名古屋市昭和区鶴舞１丁目１番169号ツルマガーデンA-８,鶴舞駅下車　子鶴舞公園内
平成第七酒場 狐小屋 八事店,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,愛知県名古屋市昭和区山手通５丁目32-2 パークいとう2F,名城線八事駅から徒歩1分
FOODLAB 358 鶴舞PARK,月～日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,愛知県名古屋市昭和区鶴舞１鶴舞公園内,JR・地下鉄『鶴舞駅』徒歩一分　鶴舞公園内
居酒屋 元祖台湾もつ鍋とほるもん焼き 仁 荒畑本店,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,愛知県名古屋市昭和区御器所３-5-3,地下鉄鶴舞線『荒畑駅』3番出口を出てすぐ　南へ徒歩1分・桜通線『御器所駅』より　徒歩7分
串あげ酒場 なごみ家,月～土、祝前日: 11:30～14:00 （料理L.O. 13:40 ドリンクL.O. 13:40）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,愛知県名古屋市昭和区広路町石坂38-2,八事駅3番出口から徒歩1分
飛騨牛焼肉 牛ざんまい 御器所店,月～金、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,愛知県名古屋市昭和区御器所通２-7-1,名古屋市営地下鉄桜通線御器所駅６出口より徒歩約4分
がブリチキン。 御器所店,月～木、日、祝日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金、土、祝前日: 16:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,愛知県名古屋市昭和区御器所通２-23　小林ビル1F,地下鉄「御器所駅」6番出口を出てすぐにございます
餃子楼 御器所店,月～金: 18:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,愛知県名古屋市昭和区御器所通２-19-3 笹善ビル1F,地下鉄鶴舞線御器所駅6番出口より徒歩２分！
桜山 鮨食人 五と二,月～金、祝前日: 17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 16:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,愛知県名古屋市昭和区桜山町６-104-66,桜山駅7番出口から徒歩1分♪気軽に本格寿司を味わえる海鮮居酒屋☆
鶏飯八事バード,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,愛知県名古屋市昭和区広路町字北石坂102-11,地下鉄八事駅1番出口を出て東へ(「八事」交差点方面)1分
煙力 八事駅前店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,愛知県名古屋市昭和区広路町字石坂３０－１７,鶴舞線八事駅３出口より徒歩約1分/名城線八事駅２出口より徒歩約2分
八事山,月～土: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）18:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）日: 18:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,愛知県名古屋市昭和区広路町北石坂102－144　クリスタルプラザ１F,名古屋市営地下鉄鶴舞線八事駅１出口より徒歩約1分/名古屋市営地下鉄名城線八事駅６出口より徒歩約2分
炭火酒場 熊天,火～日: 17:00～22:00 （料理L.O. 21:50 ドリンクL.O. 21:50）,愛知県名古屋市昭和区広見町２丁目21-5 青雲ビル 101,名古屋市営地下鉄桜通線桜山駅７出口より徒歩約11分/名古屋市営地下鉄鶴舞線荒畑駅３出口より徒歩約20分
